gene,comparison,dataset,tissue,mean_disease,mean_control,log2FC,pvalue,tstat
TRPM6,AR_vs_Control,GSE101720,Nasal epithelium,4.042857142857143,3.1333333333333337,0.909523809523809,0.009167780267979831,3.038932658317886
FCER1A,AR_vs_Control,GSE101720,Nasal epithelium,1.0142857142857142,2.1444444444444444,-1.1301587301587301,0.009422511689874923,-3.0399603936537116
TPSAB1,AR_vs_Control,GSE101720,Nasal epithelium,2.4714285714285715,-0.1444444444444445,2.615873015873016,0.022886470550587304,2.644286524816949
MS4A2,AR_vs_Control,GSE101720,Nasal epithelium,0.2571428571428573,-2.011111111111111,2.268253968253968,0.0261778757553294,2.4960413108785273
SLC39A14,AR_vs_Control,GSE101720,Nasal epithelium,4.0,3.6222222222222222,0.37777777777777777,0.029014239229496912,2.4701039979327195
SLC41A1,AR_vs_Control,GSE101720,Nasal epithelium,4.457142857142857,4.877777777777777,-0.42063492063492003,0.034683863372021576,-2.342245466145413
AHCY,AR_vs_Control,GSE101720,Nasal epithelium,4.914285714285714,5.188888888888889,-0.2746031746031754,0.059077862544692585,-2.0705203719268352
MTR,AR_vs_Control,GSE101720,Nasal epithelium,6.257142857142857,6.466666666666667,-0.20952380952380967,0.07946975588621406,-1.8943357352023185
HRH1,AR_vs_Control,GSE101720,Nasal epithelium,1.4714285714285715,0.7222222222222222,0.7492063492063493,0.1113220925851306,1.7177184710185514
IDO1,AR_vs_Control,GSE101720,Nasal epithelium,5.871428571428572,4.5,1.3714285714285719,0.11328844754939356,1.693744068242773
CYP2R1,AR_vs_Control,GSE101720,Nasal epithelium,4.557142857142857,4.388888888888889,0.16825396825396766,0.12018298221021478,1.6778958557165873
KMO,AR_vs_Control,GSE101720,Nasal epithelium,0.5571428571428572,-0.18888888888888888,0.746031746031746,0.1556070090047035,1.5105923498023157
PTGS2,AR_vs_Control,GSE101720,Nasal epithelium,4.971428571428572,4.233333333333333,0.738095238095239,0.16139047299133674,1.478942999649641
CBS,AR_vs_Control,GSE101720,Nasal epithelium,1.6000000000000003,1.2111111111111112,0.38888888888888906,0.1643189791943209,1.4829025159390739
RELA,AR_vs_Control,GSE101720,Nasal epithelium,4.757142857142858,4.888888888888889,-0.13174603174603128,0.25363604912371196,-1.198720007055965
KYNU,AR_vs_Control,GSE101720,Nasal epithelium,5.557142857142858,4.944444444444444,0.6126984126984141,0.26407572557704884,1.1650909129146374
IL33,AR_vs_Control,GSE101720,Nasal epithelium,7.257142857142857,7.577777777777778,-0.32063492063492127,0.2828934926103187,-1.1300533515810713
TSLP,AR_vs_Control,GSE101720,Nasal epithelium,0.34285714285714286,0.7222222222222222,-0.37936507936507935,0.28410147795123647,-1.1143250776516265
TXN,AR_vs_Control,GSE101720,Nasal epithelium,7.357142857142857,7.111111111111111,0.24603174603174605,0.3049510266722152,1.0651914699959366
VDR,AR_vs_Control,GSE101720,Nasal epithelium,3.6714285714285713,3.533333333333333,0.13809523809523805,0.3240379259649994,1.0282007253524652
IL1B,AR_vs_Control,GSE101720,Nasal epithelium,1.5857142857142856,0.4222222222222223,1.1634920634920634,0.3306349666762395,1.0100729090688183
HDC,AR_vs_Control,GSE101720,Nasal epithelium,2.085714285714286,1.7555555555555555,0.3301587301587303,0.3410033424557881,0.9906671537977245
GPX4,AR_vs_Control,GSE101720,Nasal epithelium,6.185714285714285,6.366666666666667,-0.18095238095238209,0.3813317775845151,-0.910130690977626
GPX1,AR_vs_Control,GSE101720,Nasal epithelium,5.671428571428572,5.855555555555556,-0.18412698412698436,0.39876693058060275,-0.8709258508363494
MTRR,AR_vs_Control,GSE101720,Nasal epithelium,5.185714285714285,5.133333333333334,0.05238095238095131,0.409381531139265,0.8569983258447638
GSR,AR_vs_Control,GSE101720,Nasal epithelium,7.3999999999999995,7.2666666666666675,0.13333333333333197,0.4155156387337446,0.8392869090622441
SLC30A1,AR_vs_Control,GSE101720,Nasal epithelium,5.628571428571428,5.511111111111111,0.11746031746031704,0.42580098395073906,0.820312912585053
TXNRD1,AR_vs_Control,GSE101720,Nasal epithelium,7.814285714285715,7.7333333333333325,0.08095238095238244,0.45587199308094556,0.771930235617064
IL5RA,AR_vs_Control,GSE101720,Nasal epithelium,5.385714285714286,5.566666666666666,-0.1809523809523803,0.49676439119793975,-0.7024701641224835
TPH1,AR_vs_Control,GSE101720,Nasal epithelium,1.6571428571428568,1.8444444444444446,-0.18730158730158775,0.5097973369725451,-0.6773197140018127
NFKB1,AR_vs_Control,GSE101720,Nasal epithelium,6.114285714285715,6.188888888888889,-0.07460317460317434,0.578815085992583,-0.5811666482055767
SLC11A2,AR_vs_Control,GSE101720,Nasal epithelium,6.457142857142857,6.5,-0.042857142857142705,0.6543561756827894,-0.459428904801139
HNMT,AR_vs_Control,GSE101720,Nasal epithelium,4.928571428571429,5.066666666666666,-0.1380952380952376,0.7019700041539224,-0.3931232277439848
MTHFR,AR_vs_Control,GSE101720,Nasal epithelium,5.928571428571429,5.888888888888888,0.03968253968254043,0.7583290014084326,0.31391952611990326
HAAO,AR_vs_Control,GSE101720,Nasal epithelium,1.3,1.2444444444444445,0.05555555555555558,0.7593379359444686,0.3128274881256373
SOD1,AR_vs_Control,GSE101720,Nasal epithelium,6.485714285714286,6.533333333333333,-0.04761904761904745,0.7917637420250404,-0.27046790851991354
CAT,AR_vs_Control,GSE101720,Nasal epithelium,6.085714285714286,6.044444444444444,0.04126984126984201,0.8405512699503739,0.20503928463447443
KIT,AR_vs_Control,GSE101720,Nasal epithelium,5.285714285714285,5.322222222222222,-0.036507936507937266,0.8408575185546721,-0.20572648315389888
TRPM7,AR_vs_Control,GSE101720,Nasal epithelium,6.928571428571429,6.944444444444445,-0.015873015873015817,0.8674939103470841,-0.17052337204298573
SOD2,AR_vs_Control,GSE101720,Nasal epithelium,7.871428571428572,7.822222222222223,0.04920634920634903,0.8696253924797408,0.1688546082085314
GCLC,AR_vs_Control,GSE101720,Nasal epithelium,7.871428571428571,7.888888888888889,-0.017460317460318286,0.8878335723425023,-0.14376935558406864
CYP24A1,AR_vs_Control,GSE101720,Nasal epithelium,4.742857142857143,4.7,0.042857142857142705,0.9216794176475617,0.10021985875084889
ALOX5,AR_vs_Control,GSE101720,Nasal epithelium,2.8000000000000003,2.7777777777777777,0.022222222222222587,0.9338507777241142,0.08451003597404498
GCLM,AR_vs_Control,GSE101720,Nasal epithelium,6.6571428571428575,6.666666666666668,-0.009523809523810378,0.9442311908761816,-0.07124704998791605
SLC40A1,AR_vs_Control,GSE101720,Nasal epithelium,5.285714285714286,5.300000000000001,-0.014285714285715123,0.9658363567515581,-0.04399413450640856
GATA3,AR_vs_Control,GSE101720,Nasal epithelium,1.4285714285714288,1.422222222222222,0.006349206349206771,0.9815040505399303,0.023703833766250123
MAT1A,AR_vs_Control,GSE101720,Nasal epithelium,3.257142857142857,3.244444444444445,0.01269841269841221,0.9822193160911192,0.022831785698656414
